#TF	target
Tbf1	YBR053C
Tbf1	YCL005W
Tbf1	YOR278W
Tbf1	YCR073W-A
Tbf1	YFL039C
Tbf1	YIL056W
Tbf1	YHL041W
Tbf1	YLR108C
Tbf1	YLR027C
Tbf1	YAL028W
Tbf1	YFL031W
Tbf1	YKL038W
Tbf1	YNR050C
Tbf1	YDL230W
Tbf1	YPL177C
Tbf1	YHR093W
Tbf1	YGL179C
Tbf1	YCR084C
Tbf1	YNL173C
Tbf1	YKL210W
Tbf1	YBL038W
Tbf1	YHL048C-A
Tbf1	YIL054W
Tbf1	YHR150W
Tbf1	YMR306W
Tbf1	YMR312W
Tbf1	YGL147C
Tbf1	YLR226W
Tbf1	YOR227W
Tbf1	YBL042C
Tbf1	YHR078W
Tbf1	YJL149W
Tbf1	YOR335C
Tbf1	YBL039C
Tbf1	YHR077C
Tbf1	YML058W-A
Tbf1	YOR098C
Tbf1	YLR432W
Tbf1	YEL017C-A
Tbf1	YML017W
Tbf1	YKL171W
Tbf1	YGR192C
Tbf1	YGR134W
Tbf1	YBR302C
Tbf1	YGR295C
Tbf1	YLR111W
Tbf1	YLR006C
Tbf1	YLR431C
Tbf1	YMR291W
Tbf1	YDL241W
Tbf1	YBL041W
Tbf1	YEL049W
Tbf1	YOL021C
Tbf1	YMR326C
Tbf1	YFR039C
Tbf1	YBL109W
Tbf1	YIR015W
Tbf1	YCR068W
Tbf1	YIR033W
Tbf1	YPR183W
Tbf1	YBR151W
Tbf1	YLR105C
Tbf1	YKL045W
Tbf1	YOR184W
Tbf1	YOL018C
Tbf1	YMR145C
Tbf1	YGL253W
Tbf1	YBR081C
Tbf1	YOR344C
Tbf1	YGL089C
Tbf1	YLR297W
Tbf1	YDR043C
Tbf1	YMR319C
Tbf1	YER169W
Tbf1	YDL127W
Tbf1	YOR223W
Tbf1	YLR312W-A
Tbf1	YMR246W
Tbf1	YAL003W
Tbf1	YOR158W
Tbf1	YHR149C
Tbf1	YOR029W
Tbf1	YOR041C
Tbf1	YBR059C
Tbf1	YEL017W
Tbf1	YPR149W
Tbf1	YLL066C
Tbf1	YKL023W
Tbf1	YCR011C
Tbf1	YBR133C
Tbf1	YGR229C
Tbf1	YMR042W
Tbf1	YAL054C
Tbf1	YOR328W
Tbf1	YKL081W
Tbf1	YGL205W
Tbf1	YPR202W
Tbf1	YCR031C
Tbf1	YEL062W
Tbf1	YJR119C
Tbf1	YER037W
Tbf1	YLR300W
Tbf1	YKR092C
Tbf1	YLR149C
Tbf1	YCR063W
Tbf1	YAL068C
Tbf1	YOR099W
Tbf1	YLR388W
Tbf1	YKL103C
Tbf1	YLR028C
Tbf1	YLR055C
Tbf1	YML056C
Tbf1	YLR149C-A
Tbf1	YPR005C
Tbf1	YDR113C
Tbf1	YIL130W
Tbf1	YLR189C
Tbf1	YPL144W
Tbf1	YBR158W
Tbf1	YLR106C
Tbf1	YNL172W
Tbf1	YGL146C
Tbf1	YJR128W
Tbf1	YDR151C
Tbf1	YAL040C
Tbf1	YMR194C-B
Tbf1	YFR035C
Tbf1	YGR279C
Tbf1	YNR051C
Tbf1	YEL050C
Tbf1	YOL157C
Tbf1	YDR042C
Tbf1	YDR491C
Tbf1	YMR311C
Tbf1	YLR094C
Tbf1	YPL176C
Tbf1	YOR326W
Tbf1	YNL066W
Tbf1	YOL109W
Tbf1	YHR217C
Tbf1	YOL110W
Tbf1	YOL158C
Tbf1	YHR156C
Tbf1	YDL110C
Tbf1	YIR032C
Tbf1	YDR490C
Tbf1	YGL098W
Tbf1	YOR320C
Tbf1	YLR056W
Tbf1	YMR199W
Tbf1	YMR313C
Tbf1	YMR146C
Tbf1	YKL039W
Tbf1	YDL231C
Tbf1	YLR190W
Tbf1	YEL059C-A
Tbf1	YKR024C
Tbf1	YPL116W
Tbf1	YJR062C
Tbf1	YDR156W
Tbf1	YPL126W
Tbf1	YBL074C
Tbf1	YLR008C
Tbf1	YLR333C
Tbf1	YIL057C
Tbf1	YCL014W
Tbf1	YPL213W
Tbf1	YLR225C
Tbf1	YBL029C-A
Tbf1	YDL229W
Tbf1	YGR211W
Tbf1	YLR389C
Tbf1	YOR277C
Tbf1	YGR146C-A
Tbf1	YOR146W
Tbf1	YPR030W
Tbf1	YML007W
Tbf1	YDR077W
Tbf1	YOR247W
Tbf1	YLR350W
Tbf1	YKL110C
Tbf1	YMR194W
Tbf1	YBL029W
Tbf1	YBR301W
Tbf1	YAL053W
Tbf1	YDR040C
Tbf1	YLL066W-B
Tbf1	YKL016C
Tbf1	YMR244W
Tbf1	YER188C-A
Tbf1	YKL060C
Tbf1	YMR013C
Tbf1	YPL128C
Tbf1	YLL010C
Tbf1	YOR040W
Tbf1	YKL102C
Tbf1	YGL206C
Tbf1	YCR073C
Tbf1	YOR185C
Tbf1	YFL038C
Tbf1	YNL337W
Tbf1	YGL145W
Tbf1	YOL020W
Tbf1	YGR147C
Tbf1	YNL016W
Tbf1	YOL059W
Tbf1	Q0055
Tbf1	YKL121W
Tbf1	YPR144C
Tbf1	YGL013C
Tbf1	YOR321W
Tbf1	YMR172W
Tbf1	YGR181W
Tbf1	YLL009C
Tbf1	YBL079W
Tbf1	YGL217C
Tbf1	YJR109C
Tbf1	YBL108C-A
Tbf1	YOL034W
Tbf1	YGR230W
Tbf1	YGL099W
Tbf1	YJL148W
Tbf1	YFR036W
Tbf1	YCR067C
Tbf1	YMR198W
Tbf1	YGR210C
Tbf1	YPL141C
Tbf1	YNR018W
Tbf1	YHR205W
Tbf1	YCR069W
Tbf1	YFL063W
Tbf1	YPL257W
Tbf1	YLR054C
Tbf1	YML034C-A
Tbf1	YHR193C
Tbf1	YHL049C
Tbf1	YNL289W
Tbf1	YKR106W
Tbf1	YPR201W
Tbf1	YIR018W
Tbf1	YLR412W
Rsf2	YLR458W
Rsf2	YNL153C
Rsf2	YMR256C
Rsf2	YHL024W
Rsf2	YHR141C
Rsf2	YNL152W
Rsf2	YDR051C
Rsf2	YOR370C
Rsf2	YPL086C
Rsf2	YHR049C-A
Rsf2	YDR514C
Rsf2	YML098W
Rsf2	YFR001W
Rsf2	tT(UGU)G1
Rsf2	YIL118W
Rsf2	YHR148W
Rsf2	YFL025C
Rsf2	YBR262C
Rsf2	YLR451W
Rsf2	YNL160W
Rsf2	YHR091C
Rsf2	YNL260C
Rsf2	YDR515W
Rsf2	YOR304W
Rsf2	YLR450W
Rsf2	YCR096C
Rsf2	YBR264C
Rsf2	YDL115C
Rsf2	YBR265W
Rsf2	YPL283C
Rsf2	YDL039C
Rsf2	YPL224C
Rsf2	YKL197C
Rsf2	YPL244C
Rsf2	YJR044C
Ino4	YDR123C
Ino4	YDR123C
Ino4	YOR192C
Ino4	YGR189C
Ino4	YPR194C
Ino4	YPR161C
Ino4	YNL044W
Ino4	YCR086W
Ino4	YBR167C
Ino4	YHR007C-A
Ino4	YIL047C
Ino4	YFL016C
Ino4	YOR355W
Ino4	YOR205C
Ino4	YFR055W
Ino4	YPR072W
Ino4	YJL141C
Ino4	YER056C
Ino4	YPL056C
Ino4	YOR317W
Ino4	YBR217W
Ino4	YGL258W
Ino4	YPL068C
Ino4	YEL004W
Ino4	YOR288C
Ino4	YBR041W
Ino4	YDR376W
Ino4	YPR028W
Ino4	YBR086C
Ino4	YBR030W
Ino4	YMR317W
Ino4	YIL011W
Ino4	YDR519W
Ino4	YMR195W
Ino4	YIL046W-A
Ino4	YMR301C
Ino4	YJL145W
Ino4	YNL179C
Ino4	YBR050C
Ino4	YBR175W
Ino4	YGR216C
Ino4	YLR173W
Ino4	YDR213W
Ino4	YDR278C
Ino4	YIL170W
Ino4	YLR386W
Ino4	YPR035W
Ino4	YIL119C
Ino4	YNR024W
Ino4	YFL014W
Ino4	YKL078W
Ino4	YPR124W
Ino4	YLR287C
Ino4	YJL023C
Ino4	YER133W
Ino4	YJL162C
Ino4	YNL307C
Ino4	YDR378C
Ino4	YGR240C
Ino4	YLR395C
Ino4	YOR094W
Ino4	YLR221C
Ino4	YHR049W
Ino4	YCR098C
Ino4	YCR098C
Ino4	YPR196W
Ino4	YPR196W
Ino4	YOR093C
Ino4	YOR093C
Ino4	YGR178C
Ino4	YNL199C
Ino4	YOR230W
Ino4	YOR020W-A
Ino4	YMR218C
Ino4	YOR018W
Ino4	YKL088W
Ino4	YJL153C
Ino4	YJL153C
Ino4	YHR155W
Ino4	YHR155W
Ino4	YPL250C
Ino4	YBR144C
Ino4	YER070W
Ino4	YLR083C
Ino4	YCR095C
Ino4	YNL232W
Ino4	YEL073C
Ino4	YEL073C
Ino4	YMR239C
Ino4	YHR153C
Ino4	YPL086C
Ino4	YBR105C
Ino4	YGR196C
Ino4	YOR316C
Ino4	YNL178W
Ino4	YLR132C
Ino4	YAL064W
Ino4	YHR116W
Ino4	YGR127W
Ino4	YGR170W
Ino4	YLR372W
Ino4	YGR126W
Ino4	YHR096C
Ino4	YNL133C
Ino4	YCR033W
Ino4	YCR033W
Ino4	YKL082C
Ino4	YIL097W
Ino4	YJL167W
Ino4	YJL167W
Ino4	YPL085W
Ino4	YOR126C
Ino4	YOR126C
Ino4	YBR093C
Ino4	YNL101W
Ino4	YDR391C
Ino4	YGR015C
Ino4	YDR287W
Ino4	YPR111W
Ino4	YDR345C
Ino4	YBL106C
Ino4	YER091C-A
Ino4	YNL256W
Ino4	YPL009C
Ino4	YER034W
Ino4	YCL001W
Ino4	YDR457W
Ino4	YPL155C
Ino4	YIR042C
Ino4	YIR042C
Ino4	YPL070W
Ino4	YPR110C
Ino4	YCL056C
Ino4	YMR219W
Ino4	YLL063C
Ino4	YMR238W
Ino4	YCR034W
Ino4	YNR016C
Ino4	YNR016C
Ino4	YIL036W
Ino4	YIL035C
Ino4	YIL139C
Ino4	YNL174W
Ino4	YDR416W
Ino4	YOL156W
Ino4	YER044C
Ino4	YHR066W
Ino4	YHR122W
Ino4	YMR069W
Ino4	YHL007C
Ino4	YHR171W
Ino4	YIL046W
Ino4	YLR384C
Ino4	YPL157W
Ino4	YOR127W
Ino4	YNR017W
Ino4	YOR258W
Ino4	YDR343C
Ino4	YGR016W
Ino4	YBR153W
Ino4	YPL232W
Ino4	YOL023W
Ino4	YPL175W
Ino4	YOR115C
Ino4	YCL049C
Ino4	YHR013C
Ino4	YDL125C
Ino4	YBR085W
Ino4	YPR108W
Ino4	YIR038C
Ino4	YDR068W
Ino4	YDR385W
Ino4	YKL033W-A
Ino4	YJL119C
Ino4	YNL257C
Ino4	YGR260W
Ino4	YCL004W
Ino4	YCL004W
Ino4	YBL078C
Ino4	YDR012W
Ino4	YBL059W
Ino4	YNL146W
Ino4	YHR082C
Ino4	YLR417W
Ino4	YNL239W
Ino4	YNL168C
Ino4	YPR073C
Ino4	YDR439W
Ino4	YDR503C
Ino4	YMR030W
Ino4	YMR030W
Ino4	YIL053W
Ino4	YLR108C
Ino4	YJR010C-A
Ino4	YHR157W
Ino4	YHR157W
Ino4	YCL011C
