Naive;Recursive;Dynamic;Divide;Optimal
183;8;6;2
4;2;2;1
3;4;14;1
5;5;6;2
4;6;2;1
5;8;2;1
8;26;5;1
11;24;4;1
15;5;5;1
22;6;6;1
24;10;6;1
15;9;7;1
9;11;16;4
23;45;22;4
20;31;21;4
38;47;13;2
15;22;21;3
18;25;19;2
19;28;22;3
26;34;30;3
29;37;30;3
31;42;32;3
31;46;34;3
43;34;38;3
42;30;46;3
46;30;42;3
52;33;43;4
52;34;43;3
56;36;48;4
61;43;49;4
70;42;54;4
70;83;56;4
78;44;55;3
72;42;55;3
76;50;60;4
733;61;81;5
729;77;82;6
782;71;78;7
46;74;81;6
49;79;83;6
49;74;85;4
50;78;88;4
51;83;90;5
51;87;95;5
53;93;96;4
67;110;120;6
61;104;115;5
74;108;108;4
64;111;108;4
74;115;117;4
67;119;120;4
71;126;128;4
74;137;138;4
80;144;133;4
86;152;145;4
86;154;178;7
90;162;144;4
104;202;145;5
91;170;193;9
122;254;189;5
112;215;185;6
123;224;227;7
141;276;229;6
126;289;225;7
138;280;219;9
142;290;279;12
163;514;313;23
148;289;228;12
180;384;278;7
231;398;305;10
165;347;291;14
144;278;109;11
94;304;113;17
125;273;67;9
97;295;60;11
102;279;57;10
107;308;52;8
131;309;44;11
106;316;97;19
133;332;57;13
110;355;62;13
116;365;92;13
120;366;58;13
151;621;97;20
157;441;70;14
147;416;50;8
262;416;78;19
151;443;86;15
225;494;77;16
160;473;118;19
333;607;178;27
205;590;99;8
295;543;74;14
171;646;121;15
298;592;85;14
172;537;77;12
316;679;87;16
199;768;116;20
289;730;99;16
231;700;81;10
308;686;93;9
159;663;109;34
256;876;121;24
115;726;78;69
128;833;190;2
151;826;103;1
145;918;172;1
139;824;105;1
144;854;193;1
139;818;99;1
190;924;304;1
172;932;127;2
164;874;334;1
149;858;121;2
158;1018;215;1
231;1341;165;2
169;968;76;1
170;1010;157;1
181;1157;80;3
191;1145;52;1
230;1068;60;1
220;1131;59;2
220;1120;58;1
248;1518;79;2
261;1604;81;2
236;1533;84;2
267;2023;92;4
292;1499;115;5
274;2948;113;4
407;1395;69;2
246;1349;69;1
232;1450;58;1
249;1549;119;5
414;1926;162;3
309;1575;77;2
278;2635;92;2
304;1652;94;2
320;1788;114;2
285;1617;78;1
314;1691;78;1
287;1658;69;1
290;1822;63;1
297;1694;79;1
362;1889;63;7
317;1941;95;2
319;1829;92;1
324;1931;74;1
326;1886;62;2
390;2184;94;1
333;2092;95;1
359;1961;78;1
336;2771;158;2
361;3230;147;3
517;3197;133;3
443;2311;146;3
469;2527;163;3
557;3348;149;3
388;3764;193;4
744;3689;157;5
594;3316;129;4
794;4788;132;4
500;3357;188;4
429;3509;133;5
1263;3484;150;4
540;3539;108;3
434;2895;112;3
998;5863;157;8
571;3066;206;8
460;3121;162;4
505;3067;140;6
621;3019;98;4
501;3328;204;4
573;3266;117;4
533;3283;130;8
552;3392;246;5
760;3993;184;3
746;5244;168;5
724;4656;142;4
964;3738;148;3
1027;3936;142;3
626;3912;177;5
663;4215;169;3
733;4376;173;3
935;3992;212;4
747;4476;221;4
790;3956;99;1
632;4058;133;2
670;4997;169;3
1148;4251;185;3
830;4513;142;2
987;5892;196;5
1239;6527;157;3
955;4652;197;6
1326;5122;136;3
758;4666;150;3
834;4561;138;2
848;5740;179;4
866;5435;165;3
822;4705;133;2
767;4988;189;2
770;5207;134;2
1042;6533;189;3
1064;5140;182;3
905;5270;182;4
872;5436;188;3
1084;5484;172;3
846;5094;167;2
845;5139;163;2
867;5563;154;2
1043;5720;161;2
927;5558;136;2
888;5295;122;1
910;5448;140;2
1021;5857;171;2
971;6141;146;2
1033;5676;144;2
970;6054;154;2
1034;6060;164;2
1076;6641;176;3
1056;6275;183;3
1036;6385;191;3
1241;6725;165;2
1172;6693;157;3
1130;8100;254;3
1755;7219;292;5
1911;7918;224;4
1152;8061;207;4
1226;7283;223;4
1225;7649;236;5
1344;7768;200;4
1378;7483;162;3
1250;6934;167;8
1223;7507;197;3
1333;7926;225;4
1379;7495;2643;4
1507;7423;73;2
1323;7573;162;2
1268;7607;159;2
1342;7723;170;2
1295;8225;208;3
1326;8537;229;4
1588;8736;169;4
1402;8876;204;4
2199;9332;131;3
1492;10716;263;5
2609;9413;197;3
1409;8786;163;3
2075;9384;137;4
1809;11711;144;4
2307;11414;92;3
1683;8925;167;2
1497;9078;74;2
1511;9157;75;2
1527;9218;72;2
1541;9357;95;2
1554;9429;101;2
1605;9557;81;3
1616;9977;225;5
2743;11634;197;4
2725;16939;214;6
2960;14310;196;5
3580;20998;193;4
4164;16568;107;6
1780;10536;84;3
1761;10757;139;6
1817;10552;125;3
1769;10743;121;3
1804;11052;101;2
1813;11212;89;2
1855;11132;110;3
1859;11364;109;3
1896;11523;169;5
2294;12261;159;4
2094;11768;206;4
2006;13643;279;7
7085;16288;118;4
3522;17307;80;2
2034;12098;84;3
2046;12217;85;2
2067;12410;88;2
2072;12735;91;3
2113;12610;90;2
2132;12762;92;2
2255;14137;197;4
3467;24672;167;3
4275;20411;100;4
2801;29689;144;5
3115;14473;99;3
2251;13493;82;2
2287;13814;94;2
2308;13842;86;2
2341;14047;85;2
2352;14082;95;3
2379;14989;139;47
2365;21217;192;9
5561;24581;161;4
2833;22970;244;9
4725;17271;96;3
2503;15018;95;2
2523;15188;106;2
2559;15306;102;2
2568;15521;110;2
2595;15815;102;3
2851;19121;237;6
4532;24235;158;6
5540;29792;403;21
4189;18783;257;3
2716;16381;249;3
2790;16568;242;2
2789;16927;261;3
2806;16894;258;2
2825;17153;302;3
2998;18854;338;5
5883;26615;376;7
6745;23071;329;3
3563;18548;284;3
2990;18143;266;3
3024;18285;266;3
3059;18227;260;2
3059;18489;274;3
3092;19093;514;310
5294;29069;721;58
6105;32784;451;26
6333;23993;284;1
3227;19252;392;0
3539;19461;315;1
3312;19626;278;0
3336;19796;276;0
3365;20722;403;1
4346;42455;403;3
6801;33832;433;1
4311;20461;291;0
3444;20758;284;0
3516;20896;314;0
3566;21158;312;1
3560;33355;520;1
9431;37843;472;2
5600;26490;310;1
3616;21821;300;0
3737;22483;339;0
3750;22273;299;0
3734;23948;501;3
7257;32428;457;1
7393;42260;326;0
3832;22982;307;0
3939;23428;321;0
3923;23473;318;0
4252;37447;823;3
11792;39885;597;1
7327;29310;333;0
4037;24233;326;0
4561;24443;330;0
4109;25225;534;1
5634;41545;344;1
9182;36435;443;1
4710;25249;333;1
4268;25617;357;0
4357;25695;335;0
4350;26695;552;2
6689;40068;482;3
8418;41739;361;0
4396;26588;337;0
4513;26897;349;0
4497;27009;357;0
4570;33245;470;1
6242;43975;566;3
8641;32960;358;0
4677;27980;402;0
4701;28318;363;0
4734;28370;352;0
4783;31178;554;2
8043;49593;575;3
9813;34191;375;1
4906;29396;363;0
4910;29534;362;0
4979;29928;411;1
5203;39189;681;4
14018;42664;439;2
5432;30533;380;0
5171;30904;521;0
5178;31122;583;2
5944;48801;552;2
11911;40726;458;1
5310;31779;386;1
5372;32118;436;0
5397;33346;563;1
11542;44443;644;1
9716;38810;402;0
5495;33123;508;1
5834;33259;405;1
5612;34533;598;1
9791;47966;688;1
13309;35204;425;0
5757;34678;420;0
5815;34597;409;0
5908;39997;725;0
8143;44605;765;1
11065;36637;487;2
6149;35737;412;1
6038;35886;428;0
6068;38631;429;1
8619;54558;659;2
9483;38573;611;1
6323;36951;421;1
6275;37311;489;1
6410;50890;565;2
14649;49396;437;1
6417;38119;495;1
6420;38534;4809;2
10093;74416;366;3
8026;39035;244;1
6635;39201;192;1
6657;50911;604;4
13804;63444;201;1
6764;40136;186;1
6819;40327;191;1
6815;42477;504;3
14359;69924;328;1
9231;41321;215;1
7081;41484;209;1
7036;50211;507;4
13087;65522;242;1
7121;42600;288;1
7182;42672;205;1
7301;54011;251;2
14141;67429;225;1
7230;43298;212;1
7348;43586;207;0
7381;49629;282;1
16840;65433;206;0
7507;44534;203;0
7670;44807;222;0
7580;53070;327;1
13478;60186;243;0
7709;45942;244;0
7962;48802;213;1
7788;60531;293;1
18741;67438;204;1
7896;47284;219;1
7958;47413;261;0
8029;73663;599;1
16846;54505;520;1
8081;48308;290;0
8661;85628;479;1
15440;48996;332;0
8250;51333;291;1
15420;71579;277;1
10888;49996;289;1
8591;50393;243;1
8568;78072;490;0
14201;51448;235;0
8613;51365;367;1
11000;75270;283;0
12919;52221;244;0
8804;52386;330;0
11453;74714;408;2
15707;53158;274;1
8950;55757;481;1
24397;76270;294;1
9222;54990;311;1
9281;66871;650;1
22496;73572;335;2
9617;55963;244;1
9435;64890;613;2
21535;75527;256;1
9781;57088;251;1
9628;67262;433;1
18256;79262;258;1
9893;58114;253;0
9778;69213;280;1
23335;75013;246;1
9965;59304;267;1
9941;76951;424;5
22388;73014;254;1
10075;60299;343;0
10197;73973;478;1
24082;76950;261;1
10326;61357;274;1
10369;108984;270;1
21531;61680;255;1
10398;61865;264;1
10436;65750;486;1
27039;89291;259;1
10569;63111;296;0
10642;98385;756;3
18168;63940;323;1
10755;104088;686;2
18417;65343;281;1
10982;65351;333;1
10996;81652;464;1
26115;76860;447;1
11291;66695;280;1
11237;100586;297;1
